"name","clock","tree","tip.date"
"SATreeRootScalerFBD.t","Strict Clock","Fossilized Birth Death","TRUE"
"SATreeScalerFBD.t","Strict Clock","Fossilized Birth Death","TRUE"
"originScalerFBD.t","Relaxed Clock Exponential","Fossilized Birth Death","TRUE"
"divRateScalerFBD.t","Relaxed Clock Exponential","Fossilized Birth Death","TRUE"
"turnoverScalerFBD.t","Relaxed Clock Exponential","Fossilized Birth Death","TRUE"
"samplingPScalerFBD.t","Relaxed Clock Exponential","Fossilized Birth Death","TRUE"
"LeafToSAFBD.t","Relaxed Clock Exponential","Fossilized Birth Death","TRUE"
"SAWilsonBaldingFBD.t","Relaxed Clock Exponential","Fossilized Birth Death","TRUE"
"SAWideFBD.t","Relaxed Clock Exponential","Fossilized Birth Death","TRUE"
"SANarrowFBD.t","Relaxed Clock Exponential","Fossilized Birth Death","TRUE"
"SAUniformOperatorFBD.t","Relaxed Clock Exponential","Fossilized Birth Death","TRUE"
"SATreeRootScalerFBD.t","Relaxed Clock Exponential","Fossilized Birth Death","TRUE"
"SATreeScalerFBD.t","Relaxed Clock Exponential","Fossilized Birth Death","TRUE"
"originScalerFBD.t","Relaxed Clock Log Normal","Fossilized Birth Death","TRUE"
"divRateScalerFBD.t","Relaxed Clock Log Normal","Fossilized Birth Death","TRUE"
"turnoverScalerFBD.t","Relaxed Clock Log Normal","Fossilized Birth Death","TRUE"
"samplingPScalerFBD.t","Relaxed Clock Log Normal","Fossilized Birth Death","TRUE"
"LeafToSAFBD.t","Relaxed Clock Log Normal","Fossilized Birth Death","TRUE"
"SAWilsonBaldingFBD.t","Relaxed Clock Log Normal","Fossilized Birth Death","TRUE"
"SAWideFBD.t","Relaxed Clock Log Normal","Fossilized Birth Death","TRUE"
"SANarrowFBD.t","Relaxed Clock Log Normal","Fossilized Birth Death","TRUE"
"SAUniformOperatorFBD.t","Relaxed Clock Log Normal","Fossilized Birth Death","TRUE"
"SATreeRootScalerFBD.t","Relaxed Clock Log Normal","Fossilized Birth Death","TRUE"
"SATreeScalerFBD.t","Relaxed Clock Log Normal","Fossilized Birth Death","TRUE"
"randomClockScaler.c","Random Local Clock","Fossilized Birth Death","FALSE"
"randomClockUpDownOperator.c","Random Local Clock","Fossilized Birth Death","FALSE"
"IndicatorsBitFlip.c","Random Local Clock","Fossilized Birth Death","FALSE"
"ClockRateScaler.c","Random Local Clock","Fossilized Birth Death","FALSE"
"originScalerFBD.t","Random Local Clock","Fossilized Birth Death","TRUE"
"divRateScalerFBD.t","Random Local Clock","Fossilized Birth Death","TRUE"
"turnoverScalerFBD.t","Random Local Clock","Fossilized Birth Death","TRUE"
"samplingPScalerFBD.t","Random Local Clock","Fossilized Birth Death","TRUE"
"LeafToSAFBD.t","Random Local Clock","Fossilized Birth Death","TRUE"
"SAWilsonBaldingFBD.t","Random Local Clock","Fossilized Birth Death","TRUE"
"SAWideFBD.t","Random Local Clock","Fossilized Birth Death","TRUE"
"SANarrowFBD.t","Random Local Clock","Fossilized Birth Death","TRUE"
"SAUniformOperatorFBD.t","Random Local Clock","Fossilized Birth Death","TRUE"
"SATreeRootScalerFBD.t","Random Local Clock","Fossilized Birth Death","TRUE"
"SATreeScalerFBD.t","Random Local Clock","Fossilized Birth Death","TRUE"
"StrictClockRateScaler.c","Strict Clock","Fossilized Birth Death","TRUE"
"strictClockUpDownOperator.c","Strict Clock","Fossilized Birth Death","TRUE"
"ExpCategoriesRandomWalk.c","Relaxed Clock Exponential","Yule","FALSE"
"ExpCategoriesSwapOperator.c","Relaxed Clock Exponential","Yule","FALSE"
"ExpCategoriesUniform.c","Relaxed Clock Exponential","Yule","FALSE"
"ExpCategoriesRandomWalk.c","Relaxed Clock Exponential","Fossilized Birth Death","FALSE"
"ExpCategoriesSwapOperator.c","Relaxed Clock Exponential","Fossilized Birth Death","FALSE"
"ExpCategoriesUniform.c","Relaxed Clock Exponential","Fossilized Birth Death","FALSE"
"ucedMeanScaler.c","Relaxed Clock Exponential","Fossilized Birth Death","TRUE"
"relaxedUpDownOperatorExp.c","Relaxed Clock Exponential","Fossilized Birth Death","TRUE"
"ucldMeanScaler.c","Relaxed Clock Log Normal","Yule","TRUE"
"ucldStdevScaler.c","Relaxed Clock Log Normal","Yule","FALSE"
"CategoriesRandomWalk.c","Relaxed Clock Log Normal","Yule","FALSE"
"CategoriesSwapOperator.c","Relaxed Clock Log Normal","Yule","FALSE"
"CategoriesUniform.c","Relaxed Clock Log Normal","Yule","FALSE"
"relaxedUpDownOperator.c","Relaxed Clock Log Normal","Yule","TRUE"
"ucldMeanScaler.c","Relaxed Clock Log Normal","Fossilized Birth Death","TRUE"
"ucldStdevScaler.c","Relaxed Clock Log Normal","Fossilized Birth Death","FALSE"
"CategoriesRandomWalk.c","Relaxed Clock Log Normal","Fossilized Birth Death","FALSE"
"CategoriesSwapOperator.c","Relaxed Clock Log Normal","Fossilized Birth Death","FALSE"
"CategoriesUniform.c","Relaxed Clock Log Normal","Fossilized Birth Death","FALSE"
"relaxedUpDownOperator.c","Relaxed Clock Log Normal","Fossilized Birth Death","TRUE"
"IndicatorsBitFlip.c","Random Local Clock","Yule","FALSE"
"ClockRateScaler.c","Random Local Clock","Yule","FALSE"
